Project,Version,Suite,Test count,APFD,APFDf,TTFF,pTTFF,Misses,Hit,HitCount
Closure,87,FAST-pw,258.0,0.5523255813953489,0.5540540540540542,116.0,0.44787644787644787,0,1,30
Closure,87,Fastazi-S,258.0,0.5523255813953489,0.5540540540540542,116.0,0.44787644787644787,0,1,30
Closure,87,Fastazi-P,258.0,0.5523255813953489,0.5540540540540542,116.0,0.44787644787644787,0,1,30
Closure,87,Random,259.0,0.44646074646074646,0.44646074646074646,143.86666666666667,0.5554697554697554,0,1,30
Closure,88,Ekstazi+random,259.0,0.6777348777348776,0.6777348777348776,83.96666666666667,0.3241956241956243,0,1,30
Closure,88,FAST-pw,258.0,0.75,0.750965250965251,65.0,0.2509652509652511,0,1,30
Closure,88,Fastazi-S,258.0,0.75,0.750965250965251,65.0,0.2509652509652511,0,1,30
Closure,88,Fastazi-P,258.0,0.75,0.750965250965251,65.0,0.2509652509652511,0,1,30
Closure,88,Random,259.0,0.5742599742599743,0.5742599742599743,110.76666666666667,0.42767052767052766,0,1,30
Closure,89,Ekstazi+random,259.0,0.6808236808236809,0.6808236808236809,83.16666666666667,0.32110682110682115,0,1,30
Closure,89,FAST-pw,258.0,0.982558139534884,0.982625482625483,5.0,0.019305019305019305,0,1,30
Closure,89,Fastazi-S,258.0,0.982558139534884,0.982625482625483,5.0,0.019305019305019305,0,1,30
Closure,89,Fastazi-P,258.0,0.982558139534884,0.982625482625483,5.0,0.019305019305019305,0,1,30
Closure,89,Random,259.0,0.6216216216216217,0.6216216216216217,98.5,0.3803088803088803,0,1,30
Closure,90,Ekstazi+random,259.0,0.5579150579150579,0.5579150579150579,115.0,0.44401544401544407,0,1,30
Closure,90,FAST-pw,258.0,0.33914728682170536,0.3416988416988415,171.0,0.6602316602316602,0,1,30
Closure,90,Fastazi-S,258.0,0.33914728682170536,0.3416988416988415,171.0,0.6602316602316602,0,1,30
Closure,90,Fastazi-P,258.0,0.33914728682170536,0.3416988416988415,171.0,0.6602316602316602,0,1,30
Closure,90,Random,259.0,0.47734877734877734,0.47734877734877734,135.86666666666667,0.5245817245817246,0,1,30
Closure,91,Ekstazi+random,259.0,0.5248391248391249,0.5248391248391249,123.56666666666666,0.47709137709137706,0,1,30
Closure,91,FAST-pw,258.0,0.47093023255813915,0.4729729729729732,137.0,0.5289575289575287,0,1,30
Closure,91,Fastazi-S,258.0,0.47093023255813915,0.4729729729729732,137.0,0.5289575289575287,0,1,30
Closure,91,Fastazi-P,258.0,0.47093023255813915,0.4729729729729732,137.0,0.5289575289575287,0,1,30
Closure,91,Random,259.0,0.5767052767052767,0.5767052767052767,110.13333333333334,0.4252252252252253,0,1,30
Closure,92,Ekstazi+random,259.0,0.5160875160875161,0.5160875160875161,125.83333333333333,0.4858429858429859,0,1,30
Closure,92,FAST-pw,258.0,0.75,0.750965250965251,65.0,0.2509652509652511,0,1,30
Closure,92,Fastazi-S,258.0,0.75,0.750965250965251,65.0,0.2509652509652511,0,1,30
